<new sheet>
sheet_name: Depository Corporations Survey
,Depository Corporations Survey,,,,,

,Period,,Rs. million,,,
,,,Broad Money (M2b),Domestic Net Credit to Central Government ,Other Domestic Credit ,Net Foreign Assets of the Banking System
,,,Broad Money (M2b),Broad Money (M2b),Broad Money (M2b),Broad Money (M2b)
,,February ,4703818.704867815,1920836.548160105,4073227.891266535,-401801.13729012065
,,March ,4731635.9904349,1954066.1774044,4149411.1517795003,-439895.5045762097
,,April ,4772123.919768824,1959489.3500145779,4173542.223240489,-464232.6441639581
,,May ,4781197.297524117,1965599.4954860252,4212035.55742047,-467502.7215960051
,,June ,4843738.827689572,2005428.9978811848,4282945.820739797,-491953.7466281729
,,July ,4940432.314752102,2032041.8718902257,4333004.343010006,-437601.4390786008
,,August ,4988563.099329034,1937922.1845582293,4347380.206315065,-281520.29037418374
,,September ,5096238.287161611,1948922.6467494944,4417611.886965677,-278000.98222029215
,,October ,5165732.585526609,1958166.5914090774,4504294.977614721,-283637.2394229993
,,November ,5246721.372871902,1960268.0240635248,4594800.929906809,-286930.64734943537
,,December ,5405596.067704419,1972132.681798774,4699544.673662645,-231238.07987645408
,2017,January ,5460427.6577715445,2113052.161701303,4740400.734065488,-327746.38641741744
,,February ,5551955.730261903,2192114.292196965,4827993.228648299,-369882.49835579994
,,March ,5677401.966622839,2214546.2776817186,4928614.343192627,-371466.5130190465
,,April ,5730774.348286646,2206288.810009565,4951478.541821539,-340861.62579037086
,,May ,5803166.580170324,2239739.97788215,4986714.645490425,-318523.9050066952
,,June ,5872506.557811816,2234622.795440066,5056415.408373781,-246031.37499924062
,,July,5986618.80685237,2254457.6351270345,5069232.293456592,-125084.42985335307
,,August ,6050583.495305557,2237514.9636754883,5111994.638809387,-50096.53588008031
,,September ,6132134.430408577,2223552.0332991714,5156643.6664722925,10477.344972679392
,,October ,6159242.004564727,2217747.307767057,5176176.787585204,37338.22671305644
,,November ,6183942.07460762,2160271.1257763207,5244817.299188994,67387.59472319263
,,December,6308061.536203936,2168517.275570751,5336197.3591415705,121537.89743486978
,2018,January ,6378367.030343744,2221413.386167511,5370259.722452033,127567.32402792922
,,February ,6450502.821835959,2245717.250129159,5445534.433721084,115957.95101423305
,,March,6606647.282756929,2278460.7589195753,5579086.960021651,106184.89721879119
,,April,6691729.812377512,2322488.3326923014,5625478.983415071,119446.89333496487
,,May ,6670948.257741604,2324225.0339106787,5681582.599977473,74399.32332043373
,,June ,6747648.3010163875,2273701.132324654,5775114.431706816,101204.0061736597
,,July ,6795382.131108586,2226707.5361271016,5838762.180721871,171513.77723044704
,,August ,6866412.801581971,2272420.180401986,5887854.129205642,166852.0650866836
,,September ,6933397.171719999,2427553.3706320603,6011640.657375868,7643.996280073887
,,October ,6988371.573151491,2422364.7053303374,6130854.0922752535,-16989.031572383246
,,November ,7042628.965449318,2465008.3549341965,6224355.266932763,-43030.372671414516
,,December ,7128296.689461999,2516711.389825662,6316731.0572615415,-67007.04770832113
,2019,January ,7110926.483431507,2626881.670362549,6260486.634164821,-121597.74324318767
,,February  ,7188598.011217874,2673182.1268207496,6271742.672433921,-95715.66722745716
,,March ,7253305.249085947,2614255.8556243586,6282811.874186505,30606.667804179247
,,April  ,7295455.631133894,2585676.3015241683,6262286.595173044,118110.47935983702
,,May,7294763.3830496315,2595911.043415854,6262313.31114161,108735.81821121706
,,June,7337767.151839454,2668070.1633618777,6325766.335942855,108492.67767315113
,,July ,7355431.443702592,2704081.0464411513,6323713.893377664,113983.9353841102
,,August ,7396866.275060717,2751994.196192831,6363345.273287486,111355.3836108871
,,September ,7443491.405548387,2731661.2805852904,6420854.334939774,126916.69489280134
,,October  ,7456332.3563869605,2728757.03754571,6481120.318350774,115401.28460466978
,,November,7472811.851773411,2702054.0329669793,6542030.833045788,96935.8054541793
,,December,7624120.668907756,2795927.214561397,6614811.896844713,100701.82190431631
,2020,January ,7703776.43990902,2916394.79239667,6616700.57433239,89472.84448240465
,,February ,7793001.290177311,2960041.6559608276,6654560.901474211,97383.28487858712
,,March ,8098249.111244671,3235474.765621331,6810385.746795457,28119.05826018285
,,April ,8258996.968935406,3301332.2320248294,6889466.956413869,83492.91425399494
,,May ,8293119.647235179,3464361.23145207,6838536.9448844455,-48840.521423226455
,,June ,8364748.216732508,3599386.0288638505,6783364.058400311,-11704.887718054699
,,July ,8507393.146148048,3783572.6152838063,6810560.978047293,-48898.79717551707
,,August ,8692021.178709967,3834853.6249041967,6929212.11793872,-19572.274995397776
,,September ,8870429.94400316,3981981.3245481043,7012693.006905401,-65886.11313820572
,,October ,9017479.983150518,4262995.14054258,7056609.128573844,-246578.47196585278
,,November ,9135634.833010206,4362788.939060981,7104766.532527593,-281202.8786369645
,,December ,9405733.970753659,4548061.36598224,7173111.422547279,-209468.35904690903
,2021,January ,9532696.54582566,4757959.77198118,7254739.783655088,-321082.2518428514
,,February ,9650905.73854283,4793120.576531764,7356031.915250013,-385696.66451667313
,,March ,9838636.767781746,4941847.887560311,7486620.2484451635,-429949.85511660704
,,April,9947334.174134597,4965054.87057082,7539294.517534418,-430689.3704593033
,,May,10032973.225624453,5014282.506443235,7614226.457690454,-428893.68960939994
,,June,10164762.774808567,5123878.768793804,7717007.751892849,-481345.8063131162
,,July,10303589.288984489,5411221.088525735,7802344.961071247,-699373.3896854307
,,August,10513644.48178877,5531433.75600785,7932393.603080574,-700954.6713117019
,,September,10488100.250755433,5594599.23650287,7947676.320116983,-722135.4107539477
,,October,10581729.527161457,5665030.765468162,8053410.446959477,-836562.4968828582
,,November ,10545784.865036545,5713791.707824933,8104862.101792295,-906347.2562823952
,,December,10647308.958705362,5832419.995395166,8169531.084270003,-981975.7609159651
,2022,January ,10667725.545318495,6053564.914958753,8209323.558773518,-1215586.9471202572
,,February ,10755111.286060214,6099936.579744347,8288788.745641538,-1274999.5318748332
,,March,11575558.640797008,6555681.877783431,9081369.063764842,-1888714.1157757216
,,April,11940607.974843834,6569414.841153681,9477844.690361127,-2195170.9633783884
,,May,11896968.867599156,6522545.335363593,9504926.24304479,-2082815.6843569013
,,June ,11901351.248986265,6696887.423698852,9443280.579160005,-2121925.205589014
,,July ,11955344.2030896,6826396.238140378,9427151.47983167,-2123834.1846181415
,,August,11986911.204924239,6990089.676424009,9313975.826640807,-2035098.5832452956
,,September,12051480.030225325,7043407.957746308,9279944.150485259,-1892838.7415203238
,,October ,12045718.9292109,7178423.229987761,9307871.945172193,-1873197.1915489994
,,November,12162933.89470332,7292623.126371434,9259590.861688545,-1869981.7991460592
,,December,12289636.895492472,7471108.474512255,9161164.224382801,-1766812.8016310597
,2023,January,12322462.075727083,7611633.133188788,9065828.078554,-1572733.5317815146
,,February,12345802.725401752,7470917.381597146,8972292.69681931,-1434458.92710577
,,March ,12293351.273938052,7568129.578306731,8745721.822125096,-1173747.0181489764
,,April ,12386649.987489123,8091142.006679352,8239527.572619822,-1039196.7897914371
,,May ,12306549.587987078,8110901.541802777,8087588.808323516,-837581.0245245928
,,June ,12516610.267588489,8261006.036021285,8175744.071605064,-807980.8390733863
,,July,12726250.766167711,8549410.00747854,8189996.617500089,-707023.2303401246
,,August (b),12697898.547723152,8465278.53318134,8189271.815548396,-611500.2650608793

,(a) The extraordinary increase in components of monetary aggregates in the month of October 2015 could be attributted to the merger of DFCC Vardhana Bank(LCB) and DFCC PLC(LSB) to formulate one licensed commercial bank(DFCC Bank PLC ) with effect from 01 of October 2015.,,,,,
,(b) Provisional,,,,,

,Note: ,Valuation changes arising from changes in the exchange rate have led to significant changes in monetary and credit aggregates during the period starting from March 2022.  ,,,,
,Source: Central Bank of Sri Lanka,,,,,

